"档位","Metric","计算公式","单位/方向","适用范围","AI2-ARC","AIME-2024","BBH","BFCL-V3","BFCL-V4","BURSTGPT-TRACE","EVOSCIENTIST","GPQA","GSM8K","HOTPOT-QA","HOTPOTQA-REACT-100","HUMANEVAL","INFINITEBENCH","INSTRUCTCODER","JSONSCHEMABENCH","LIVECODEBENCH-CODE-GENERATION","LIVECODEBENCH-EXECUTION","LIVECODEBENCH-TEST-GENERATION","LONGBENCH","LONGBENCH-V2","MATH-500","MBPP","MMLU-PRO","OASST1","PAIO-CHAT-1000","PAIO-CODE-EVAL-1000","PAIO-JSON-500","PAIO-LONG-PREFILL-5000","PAIO-LONGTEXT-4000","PAIO-PREFIX-SHARED-5000","PAIO-REUSE-CONV-5000","PAIO-SEMANTIC-SIMILAR-5000","SCHEMASTORE","SHAREGPT-V3","SONNET","STRUCTEVAL","SZYN-OPENCODE-SWEBENCH-VERIFIED-500","SYFI-CODING-TRACE","TAU2-BENCH","TOOLBENCH","ULTRACHAT-200K","VISIONARENA","WILDCHAT","WILDCHAT-4.8M"
"REQUIRED","静默截断率","R_trunc = N_silent_truncation / N_plan","%","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","B1/B0 吞吐比","R_Q = median(Q_B1,1..3) / median(Q_B0,1..3)","ratio","全部性能测试","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","吞吐提升率","ΔQ = (R_Q - 1) × 100%","%","全部性能测试","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","时延改善率","ΔL = (1 - median(L_B1)/median(L_B0)) × 100%","%","全部性能测试","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","跨场景几何平均","GM = exp[(1/K) Σ ln(R_Q,k)]","ratio","预声明验收场景","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","极限百万 token 成本","C_raw = H × 10^6 / (3600 × Q_raw)","货币/1M token","价格测试","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","SLO 百万 token 成本","C_slo = H × 10^6 / (3600 × Q_slo)","货币/1M token","正式报价","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","峰值填平率","φ = 实际承载容量 / 可提供的合规饱和容量","%","正式报价","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","报价（加价率）","Price_1M = (C_slo / φ) × (1 + c_cloud) × (1 + r_markup)","货币/1M token","正式报价","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","SLO Goodput","G_slo = N_slo / T","request/s","在线/rate scan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","Cache 命中率","H_cache = hit_blocks / queried_blocks","%","Prefix/KV/复用场景","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","HBM 峰值","HBM_peak = max_t HBM_used(t)","GiB","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","NPU 平均利用率","U_NPU = (1/T) ∫ U_NPU(t)dt","%","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","MFU","MFU = TFLOPS_effective / TFLOPS_peak","%","A1 固定形状","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","报价（会计毛利率）","Price_1M = (C_slo / φ) × (1 + c_cloud) / (1 - m_gross)","货币/1M token","正式报价","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","三轮变异系数","CV = std(x_1,x_2,x_3) / mean(x_1,x_2,x_3)","ratio","稳定性诊断","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","平均功耗","P_avg = (1/T) ∫ P(t)dt","W","能耗诊断","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","每百万 token 能耗","E_1M = ∫P(t)dt / (N_token / 10^6)","kWh/1M token","能耗诊断","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADDITIONAL","Jain 公平指数","J = (Σx_j)^2 / [m × Σ(x_j^2)]","0–1","A4 多租户","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
